data,estado,cidade,casos_totais,casos_novos,obitos_totais,obitos_novos,ano,mes,data_carga
2023-03-18,SP,Itanhaém/SP,13926,55,416,1,2023,3,2025-10-15 20:57:10.032331
2023-03-18,GO,Joviânia/GO,3304,9,26,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Juquitiba/SP,1830,0,88,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MT,Lucas do Rio Verde/MT,28868,0,223,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,CE,Monsenhor Tabosa/CE,3346,0,44,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Monte Azul/MG,2681,0,39,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SC,Praia Grande/SC,2172,0,18,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PR,Sertaneja/PR,1970,0,21,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RS,São José das Missões/RS,462,0,3,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RJ,São José de Ubá/RJ,1539,0,9,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SC,São Ludgero/SC,4891,4,38,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RS,Tapera/RS,3553,5,50,1,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SE,Telha/SE,543,0,11,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Ubirajara/SP,579,0,14,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Varjão de Minas/MG,1702,0,17,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,ES,Afonso Cláudio/ES,8580,3,88,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RS,Anta Gorda/RS,1188,7,10,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PB,Areia/PB,2980,1,36,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Bilac/SP,970,0,26,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PB,Brejo do Cruz/PB,2127,0,25,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MT,Campinápolis/MT,3263,0,54,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RS,Capivari do Sul/RS,1893,0,10,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Cedral/SP,3876,1,41,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,CE,Crato/CE,28229,12,267,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SE,Feira Nova/SE,286,0,7,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Franco da Rocha/SP,18584,10,442,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PI,Geminiano/PI,698,6,6,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,AM,Humaitá/AM,12054,7,160,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PR,Ibema/PR,926,0,32,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Inconfidentes/MG,2099,0,12,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,João Ramalho/SP,1222,1,15,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Luz/MG,6264,0,43,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RJ,Magé/RJ,22195,13,747,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,BA,Mairi/BA,2154,2,21,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RS,Marcelino Ramos/RS,1125,0,10,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Martins Soares/MG,733,0,15,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Novo Cruzeiro/MG,2225,0,38,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SC,Papanduva/SC,3400,-1,58,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PB,Santa Cruz/PB,1689,0,10,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Santo Antônio da Alegria/SP,543,0,25,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PR,São José das Palmeiras/PR,896,0,14,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,São José dos Campos/SP,132154,154,2365,1,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RS,São Sebastião do Caí/RS,7355,41,69,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PA,Trairão/PA,2020,0,30,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SC,Turvo/SC,3516,-1,38,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Ubaí/MG,1157,0,2,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,BA,Vera Cruz/BA,2255,0,95,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Wenceslau Braz/MG,564,0,8,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,GO,Alto Horizonte/GO,3154,1,18,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,BA,América Dourada/BA,3161,0,56,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Ataléia/MG,1530,0,13,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,BA,Belmonte/BA,778,0,15,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MA,Bequimão/MA,1226,0,29,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,BA,Boninal/BA,706,0,13,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,CE,Catunda/CE,2439,1,21,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,CE,Choró/CE,1792,1,18,0,2023,3,2025-10-15 20:57:10.032331
